"","looker_id","names_x","X","names_y","Y"
"148",28,"width_right_x2",7383.694,"width_right_y2",3644.254
"149",29,"width_right_x2",7670.034,"width_right_y2",4065.021
"150",30,"width_right_x2",7523.099,"width_right_y2",4124.29
"151",31,"width_right_x2",7151.709,"width_right_y2",3837.034
"152",32,"width_right_x2",6880.167,"width_right_y2",3854.019
"153",33,"width_right_x2",7418.416,"width_right_y2",4055.84
"154",34,"width_right_x2",7340.887,"width_right_y2",4247.875
"155",35,"width_right_x2",6734.476,"width_right_y2",4739.173
"156",36,"width_right_x2",7303.952,"width_right_y2",3841.053
"157",37,"width_right_x2",7150.745,"width_right_y2",3948.464
"158",38,"width_right_x2",6685.924,"width_right_y2",3868.619
"159",39,"width_right_x2",7133.551,"width_right_y2",3932.749
"160",40,"width_right_x2",6869.129,"width_right_y2",4559.65
"161",1,"sc_width_left_x1",4094.287,"sc_width_left_y1",3034.216
"162",2,"sc_width_left_x1",4417.818,"sc_width_left_y1",4126.393
"163",3,"sc_width_left_x1",4559.681,"sc_width_left_y1",4298.155
"164",4,"sc_width_left_x1",4452.787,"sc_width_left_y1",4077.17
"165",5,"sc_width_left_x1",4590.851,"sc_width_left_y1",3992.693
"166",6,"sc_width_left_x1",4425.973,"sc_width_left_y1",3955.755
"167",7,"sc_width_left_x1",4995.523,"sc_width_left_y1",3902.152
"168",8,"sc_width_left_x1",4776.741,"sc_width_left_y1",4026.745
"169",9,"sc_width_left_x1",4426.431,"sc_width_left_y1",4304.8
"170",10,"sc_width_left_x1",4781.366,"sc_width_left_y1",4426.089
"171",11,"sc_width_left_x1",4357.81,"sc_width_left_y1",4380.637
"172",12,"sc_width_left_x1",4515.044,"sc_width_left_y1",4576.235
"173",13,"sc_width_left_x1",4477.989,"sc_width_left_y1",4346.204
"174",14,"sc_width_left_x1",4798.218,"sc_width_left_y1",4030.892
"175",15,"sc_width_left_x1",4604.07,"sc_width_left_y1",4439.691
"176",16,"sc_width_left_x1",4459.149,"sc_width_left_y1",4095.308
"177",17,"sc_width_left_x1",4551.377,"sc_width_left_y1",4057.383
"178",18,"sc_width_left_x1",4718.182,"sc_width_left_y1",3748.538
"179",19,"sc_width_left_x1",4784.312,"sc_width_left_y1",3787.551
"180",20,"sc_width_left_x1",4708.703,"sc_width_left_y1",4448.387
"181",21,"sc_width_left_x1",4749.275,"sc_width_left_y1",4206.925
"182",22,"sc_width_left_x1",4705.289,"sc_width_left_y1",4231.167
"183",23,"sc_width_left_x1",4704.402,"sc_width_left_y1",4330.643
"184",24,"sc_width_left_x1",4483.059,"sc_width_left_y1",3941.571
"185",25,"sc_width_left_x1",4563.829,"sc_width_left_y1",4098.135
"186",26,"sc_width_left_x1",4749.184,"sc_width_left_y1",4491.067
"187",27,"sc_width_left_x1",4244.563,"sc_width_left_y1",3982.712
"188",28,"sc_width_left_x1",4578.084,"sc_width_left_y1",3457.691
"189",29,"sc_width_left_x1",5063.961,"sc_width_left_y1",3886.509
"190",30,"sc_width_left_x1",4901.366,"sc_width_left_y1",3989.349
"191",31,"sc_width_left_x1",4640.012,"sc_width_left_y1",3591.45
"192",32,"sc_width_left_x1",4279.719,"sc_width_left_y1",3779.188
"193",33,"sc_width_left_x1",4496.022,"sc_width_left_y1",3971.307
"194",34,"sc_width_left_x1",4946.264,"sc_width_left_y1",3980.46
"195",35,"sc_width_left_x1",4186.021,"sc_width_left_y1",4310.924
"196",36,"sc_width_left_x1",4504.682,"sc_width_left_y1",3799.399
"197",37,"sc_width_left_x1",4726.417,"sc_width_left_y1",3891.442
"198",38,"sc_width_left_x1",4334.121,"sc_width_left_y1",3788.804
"199",39,"sc_width_left_x1",4450.451,"sc_width_left_y1",3822.439
"200",40,"sc_width_left_x1",4739.699,"sc_width_left_y1",4239.021
"201",1,"sc_width_left_x2",2429.783,"sc_width_left_y2",3088.774
"202",2,"sc_width_left_x2",2650.849,"sc_width_left_y2",4045.168
"203",3,"sc_width_left_x2",2960.688,"sc_width_left_y2",4211.843
"204",4,"sc_width_left_x2",2821.874,"sc_width_left_y2",4067.938
"205",5,"sc_width_left_x2",2990.66,"sc_width_left_y2",4023.151
"206",6,"sc_width_left_x2",2867.997,"sc_width_left_y2",4062.232
"207",7,"sc_width_left_x2",3235.001,"sc_width_left_y2",3890.557
"208",8,"sc_width_left_x2",3106.877,"sc_width_left_y2",4101.51
"209",9,"sc_width_left_x2",2819.386,"sc_width_left_y2",4268.143
"210",10,"sc_width_left_x2",3269.102,"sc_width_left_y2",4481.759
"211",11,"sc_width_left_x2",2717.181,"sc_width_left_y2",4400.961
"212",12,"sc_width_left_x2",2892.218,"sc_width_left_y2",4492.557
"213",13,"sc_width_left_x2",2745.081,"sc_width_left_y2",4286.47
"214",14,"sc_width_left_x2",3176.099,"sc_width_left_y2",4074.265
"215",15,"sc_width_left_x2",2898.66,"sc_width_left_y2",4409.026
"216",16,"sc_width_left_x2",2836.468,"sc_width_left_y2",4169.855
"217",17,"sc_width_left_x2",2709.986,"sc_width_left_y2",4039.483
"218",18,"sc_width_left_x2",3181.042,"sc_width_left_y2",3694.417
"219",19,"sc_width_left_x2",3096.919,"sc_width_left_y2",3911.035
"220",20,"sc_width_left_x2",3275.263,"sc_width_left_y2",4425.096
"221",21,"sc_width_left_x2",2993.517,"sc_width_left_y2",4266.567
"222",22,"sc_width_left_x2",3038.556,"sc_width_left_y2",4313.125
"223",23,"sc_width_left_x2",3061.929,"sc_width_left_y2",4291.213
"224",24,"sc_width_left_x2",2794.667,"sc_width_left_y2",3997.38
"225",25,"sc_width_left_x2",3005.969,"sc_width_left_y2",4061.33
"226",26,"sc_width_left_x2",3103.77,"sc_width_left_y2",4407.645
"227",27,"sc_width_left_x2",2501.824,"sc_width_left_y2",3892.92
"228",28,"sc_width_left_x2",2846.137,"sc_width_left_y2",3553.53
"229",29,"sc_width_left_x2",3338.053,"sc_width_left_y2",3998.415
"230",30,"sc_width_left_x2",3088.264,"sc_width_left_y2",4036.882
"231",31,"sc_width_left_x2",2937.984,"sc_width_left_y2",3653.488
"232",32,"sc_width_left_x2",2598.625,"sc_width_left_y2",3864.875
"233",33,"sc_width_left_x2",3012.033,"sc_width_left_y2",4087.527
"234",34,"sc_width_left_x2",3438.147,"sc_width_left_y2",3979.297
"235",35,"sc_width_left_x2",2569.235,"sc_width_left_y2",4305.583
"236",36,"sc_width_left_x2",2630.613,"sc_width_left_y2",4003.185
"237",37,"sc_width_left_x2",3190.446,"sc_width_left_y2",3944.278
"238",38,"sc_width_left_x2",2477.706,"sc_width_left_y2",4005.218
"239",39,"sc_width_left_x2",2712.312,"sc_width_left_y2",4008.62
"240",40,"sc_width_left_x2",2911.52,"sc_width_left_y2",4161.917
"241",1,"sc_width_right_x1",8388.016,"sc_width_right_y1",2888.947
"242",2,"sc_width_right_x1",8972.425,"sc_width_right_y1",4092.14
"243",3,"sc_width_right_x1",9025.54,"sc_width_right_y1",4165.124
"244",4,"sc_width_right_x1",8776.49,"sc_width_right_y1",3962.388
"245",5,"sc_width_right_x1",8858.314,"sc_width_right_y1",3856.571
"246",6,"sc_width_right_x1",8565.547,"sc_width_right_y1",3822.092
"247",7,"sc_width_right_x1",9409.523,"sc_width_right_y1",3740.546
"248",8,"sc_width_right_x1",9412.841,"sc_width_right_y1",4081.528
"249",9,"sc_width_right_x1",8710.896,"sc_width_right_y1",4104.233
"250",10,"sc_width_right_x1",8729.826,"sc_width_right_y1",4427.982
"251",11,"sc_width_right_x1",8733.125,"sc_width_right_y1",4253.394
"252",12,"sc_width_right_x1",8459.067,"sc_width_right_y1",4354.209
"253",13,"sc_width_right_x1",8285.893,"sc_width_right_y1",4018.923
"254",14,"sc_width_right_x1",8935.597,"sc_width_right_y1",4039.496
"255",15,"sc_width_right_x1",8765.291,"sc_width_right_y1",4113.57
"256",16,"sc_width_right_x1",8881.061,"sc_width_right_y1",4064.999
"257",17,"sc_width_right_x1",9013.306,"sc_width_right_y1",4216.714
"258",18,"sc_width_right_x1",9063.946,"sc_width_right_y1",3877.417
"259",19,"sc_width_right_x1",9183.683,"sc_width_right_y1",3891.094
"260",20,"sc_width_right_x1",8711.018,"sc_width_right_y1",4518.597
"261",21,"sc_width_right_x1",9135.795,"sc_width_right_y1",4215.896
"262",22,"sc_width_right_x1",8901.996,"sc_width_right_y1",4309.263
"263",23,"sc_width_right_x1",8896.135,"sc_width_right_y1",4234.947
"264",24,"sc_width_right_x1",8847,"sc_width_right_y1",3881
"265",25,"sc_width_right_x1",8884.261,"sc_width_right_y1",4117.798
"266",26,"sc_width_right_x1",8955.101,"sc_width_right_y1",4196.78
"267",27,"sc_width_right_x1",8697.115,"sc_width_right_y1",3935.934
"268",28,"sc_width_right_x1",9358.416,"sc_width_right_y1",3794.989
"269",29,"sc_width_right_x1",9510.327,"sc_width_right_y1",3999.792
"270",30,"sc_width_right_x1",9451.004,"sc_width_right_y1",4197.516
"271",31,"sc_width_right_x1",9041.357,"sc_width_right_y1",3785.08
"272",32,"sc_width_right_x1",8768.885,"sc_width_right_y1",3730.481
"273",33,"sc_width_right_x1",9206.709,"sc_width_right_y1",4129.269
"274",34,"sc_width_right_x1",9146.016,"sc_width_right_y1",4295.743
"275",35,"sc_width_right_x1",8578.931,"sc_width_right_y1",4705.583
"276",36,"sc_width_right_x1",9385.182,"sc_width_right_y1",3849.54
"277",37,"sc_width_right_x1",8969.781,"sc_width_right_y1",3787.555
"278",38,"sc_width_right_x1",8817.29,"sc_width_right_y1",3941.498
"279",39,"sc_width_right_x1",8989.234,"sc_width_right_y1",4118.364
"280",40,"sc_width_right_x1",8842.823,"sc_width_right_y1",4632.028
"281",1,"sc_width_right_x2",6765.85,"sc_width_right_y2",2951.78
"282",2,"sc_width_right_x2",7238.389,"sc_width_right_y2",4107.717
"283",3,"sc_width_right_x2",7533.263,"sc_width_right_y2",4328.476
"284",4,"sc_width_right_x2",7221.812,"sc_width_right_y2",4034.687
"285",5,"sc_width_right_x2",7207.499,"sc_width_right_y2",3914.35
"286",6,"sc_width_right_x2",7026.066,"sc_width_right_y2",3814.66
"287",7,"sc_width_right_x2",7643.093,"sc_width_right_y2",3842.857
"288",8,"sc_width_right_x2",7714.418,"sc_width_right_y2",4046.131
"289",9,"sc_width_right_x2",7004.08,"sc_width_right_y2",4189.451
"290",10,"sc_width_right_x2",7182.924,"sc_width_right_y2",4450.338
"291",11,"sc_width_right_x2",7118.332,"sc_width_right_y2",4267.926
"292",12,"sc_width_right_x2",6863.061,"sc_width_right_y2",4486.139
"293",13,"sc_width_right_x2",6739.861,"sc_width_right_y2",4164.915
"294",14,"sc_width_right_x2",7308.652,"sc_width_right_y2",3958.233
"295",15,"sc_width_right_x2",7048.485,"sc_width_right_y2",4267.493
"296",16,"sc_width_right_x2",7275.511,"sc_width_right_y2",4078.616
"297",17,"sc_width_right_x2",7182.952,"sc_width_right_y2",4105.519
"298",18,"sc_width_right_x2",7456.042,"sc_width_right_y2",3804.813
"299",19,"sc_width_right_x2",7422.991,"sc_width_right_y2",3823.827
"300",20,"sc_width_right_x2",7214.893,"sc_width_right_y2",4498.482
"301",21,"sc_width_right_x2",7444.953,"sc_width_right_y2",4104.527
"302",22,"sc_width_right_x2",7257.315,"sc_width_right_y2",4287.601
"303",23,"sc_width_right_x2",7208.157,"sc_width_right_y2",4303.058
"304",24,"sc_width_right_x2",7143,"sc_width_right_y2",3927
"305",25,"sc_width_right_x2",7253.812,"sc_width_right_y2",4164.821
"306",26,"sc_width_right_x2",7305.044,"sc_width_right_y2",4434.896
"307",27,"sc_width_right_x2",7082.918,"sc_width_right_y2",3968.518
"308",28,"sc_width_right_x2",7643.513,"sc_width_right_y2",3576.377
"309",29,"sc_width_right_x2",7837.923,"sc_width_right_y2",3935.819
"310",30,"sc_width_right_x2",7716.507,"sc_width_right_y2",4006.708
"311",31,"sc_width_right_x2",7387.318,"sc_width_right_y2",3698.358
"312",32,"sc_width_right_x2",7061.906,"sc_width_right_y2",3673.679
"313",33,"sc_width_right_x2",7643.292,"sc_width_right_y2",3996.73
"314",34,"sc_width_right_x2",7560.299,"sc_width_right_y2",4159.059
"315",35,"sc_width_right_x2",6994.839,"sc_width_right_y2",4554.096
"316",36,"sc_width_right_x2",7565.706,"sc_width_right_y2",3721.064
"317",37,"sc_width_right_x2",7378.011,"sc_width_right_y2",3835.274
"318",38,"sc_width_right_x2",6964.145,"sc_width_right_y2",3695.776
"319",39,"sc_width_right_x2",7323.976,"sc_width_right_y2",3848.867
"320",40,"sc_width_right_x2",7105.229,"sc_width_right_y2",4426.822
"321",1,"ir_width_left_x1",2844.568,"ir_width_left_y1",3100.736
"322",2,"ir_width_left_x1",3041.573,"ir_width_left_y1",4110.665
"323",3,"ir_width_left_x1",3372.908,"ir_width_left_y1",4255.63
"324",4,"ir_width_left_x1",3162.261,"ir_width_left_y1",4018.873
"325",5,"ir_width_left_x1",3406.812,"ir_width_left_y1",4177.018
"326",6,"ir_width_left_x1",3138.398,"ir_width_left_y1",3953.956
"327",7,"ir_width_left_x1",3659.236,"ir_width_left_y1",3800.725
"328",8,"ir_width_left_x1",3583.542,"ir_width_left_y1",3913.8
"329",9,"ir_width_left_x1",3256.317,"ir_width_left_y1",4059.824
"330",10,"ir_width_left_x1",3624.985,"ir_width_left_y1",4422.678
"331",11,"ir_width_left_x1",3111.435,"ir_width_left_y1",4198.825
"332",12,"ir_width_left_x1",3276.911,"ir_width_left_y1",4510.519
"333",13,"ir_width_left_x1",3197.068,"ir_width_left_y1",4292.453
"334",14,"ir_width_left_x1",3561.764,"ir_width_left_y1",3794.386
"335",15,"ir_width_left_x1",3305.019,"ir_width_left_y1",4265.087
"336",16,"ir_width_left_x1",3301.579,"ir_width_left_y1",4205.235
"337",17,"ir_width_left_x1",3253.192,"ir_width_left_y1",3970.155
"338",18,"ir_width_left_x1",3538.721,"ir_width_left_y1",3690.413
"339",19,"ir_width_left_x1",3500.183,"ir_width_left_y1",3861.186
"340",20,"ir_width_left_x1",3579.798,"ir_width_left_y1",4391.097
"341",21,"ir_width_left_x1",3406.949,"ir_width_left_y1",3978.321
"342",22,"ir_width_left_x1",3436.263,"ir_width_left_y1",4117.269
"343",23,"ir_width_left_x1",3524.75,"ir_width_left_y1",4373.543
"344",24,"ir_width_left_x1",3225.082,"ir_width_left_y1",3773.831
"345",25,"ir_width_left_x1",3365.677,"ir_width_left_y1",4076.437
"346",26,"ir_width_left_x1",3529.534,"ir_width_left_y1",4202.023
"347",27,"ir_width_left_x1",2948.817,"ir_width_left_y1",3894.287
"348",28,"ir_width_left_x1",3247.172,"ir_width_left_y1",3531.602
"349",29,"ir_width_left_x1",3823.311,"ir_width_left_y1",3972.43
"350",30,"ir_width_left_x1",3523.677,"ir_width_left_y1",3948.981
"351",31,"ir_width_left_x1",3456.158,"ir_width_left_y1",3490.841
"352",32,"ir_width_left_x1",2982.396,"ir_width_left_y1",3832.687
"353",33,"ir_width_left_x1",3314.78,"ir_width_left_y1",3994.856
"354",34,"ir_width_left_x1",3822.683,"ir_width_left_y1",3992.445
"355",35,"ir_width_left_x1",3063.698,"ir_width_left_y1",4377.819
"356",36,"ir_width_left_x1",3073.003,"ir_width_left_y1",3761.153
"357",37,"ir_width_left_x1",3492.626,"ir_width_left_y1",3891.027
"358",38,"ir_width_left_x1",2970.404,"ir_width_left_y1",3585.561
