"","looker_id","looker_id_seq","looker_gender","width_left_px","sc_width_left_px","ir_width_left_px","ir_width_alt_left_px","width_right_px","sc_width_right_px","ir_width_right_px","ir_width_alt_right_px","height_left_px","sc_height_left_px","ir_height_left_px","height_right_px","sc_height_right_px","ir_height_right_px","complete_area_left","complete_area_right","eye_opening_area_left","eye_opening_area_right","iris_pupil_area_left","iris_pupil_area_right","sclera_area_left","sclera_area_right","hac_left","hac_right","hrc_left","hrc_right","ril_left","ril_right","luminance_slope_left","luminance_slope_right","width_px","sc_width_px","ir_width_px","ir_width_alt_px","height_px","sc_height_px","ir_height_px","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","lum_slope","lum_slope_abs","whr_px","ssi_px","ssi_alt_px","ssr","hei_left_px","hei_right_px","hei_px","luminance_slope_abs_left","luminance_slope_abs_right","whr_left_px","whr_right_px","ssi_left_px","ssi_alt_left_px","ssi_right_px","ssi_alt_right_px","ssr_left","ssr_right"
"11","F12",11,"f",1834.27084255352,1640.75488133268,810.469290400321,735.017817905399,1776.90104889861,1614.85838756004,816.114277841652,753.589548579399,607.415702350242,606.504478788781,608.26830720251,597.653443705513,595.982408352795,613.353698903698,151.949,147.655,146.363,142.242,84.642,83.648,61.721,58.594,86.6666,71.6655,106.905,89.3453,1445.70072102928,1975.99701726159,-11.8731128585911,9.06274896619751,1834.27084255352,1640.75488133268,810.469290400321,735.017817905399,607.415702350242,606.504478788781,608.26830720251,151.949,146.363,84.642,61.721,79.16605,98.12515,17.1084886914544,-1.40518194619681,10.4679309123943,3.01979490397807,2.02445040270711,2.23226545175242,42.1698106761955,22987.7053889439,22197.2226035699,22987.7053889439,11.8731128585911,9.06274896619751,3.01979490397807,2.97312944083722,2.02445040270711,2.23226545175242,2.70957391514837,2.14288851352069,42.1698106761955,41.1931778237089
"12","F13",12,"f",1842.98597763982,1624.98191804094,789.971368012791,789.959507640238,1777.15955773757,1601.44955491455,798.167743143007,791.723850741406,686.956907890587,680.581163168867,680.984395102108,678.169877249217,673.214537274336,672.505583448997,183.029,171.322,174.109,162.267,91.616,91.942,82.493,70.325,92.0593,81.9149,98.6333,90.0397,1833.63952243371,2007.0937556411,-12.6060278249439,12.2366974395746,1842.98597763982,1624.98191804094,789.971368012791,789.959507640238,686.956907890587,680.581163168867,680.984395102108,183.029,174.109,91.616,82.493,86.9871,94.3365,19.203666390374,-0.184665192684653,12.4213626322592,2.68282618090122,2.05701368915262,2.05704457294915,47.3800894841737,19508.4534043444,19463.576042313,19508.4534043444,12.6060278249439,12.2366974395746,2.68282618090122,2.62052269992595,2.05701368915262,2.05704457294915,2.37881012106242,2.02273754089242,47.3800894841737,43.3390646280513
"13","F14",13,"f",1918.55056246245,1733.93722124534,772.770348386246,720.851849131833,1805.13932549956,1552.90972341859,792.063954155219,733.427200841517,483.656394619448,482.647817201715,491.48673288934,472.582183285782,469.460294150083,471.493710538791,123.008,110.474,119.643,105.679,67.754,66.61,51.889,39.069,65.2514,71.0981,90.9259,93.3655,1846.05176177736,1694.40917167332,10.0106471111657,-8.86112218954085,1918.55056246245,1733.93722124534,772.770348386246,720.851849131833,483.656394619448,482.647817201715,491.48673288934,123.008,119.643,67.754,51.889,68.17475,92.1457,17.7023046672534,0.574762460812402,9.43588465035326,3.9667635614991,2.24379367669356,2.405400254343,43.3698586628553,30765.1618625829,30834.2053242839,30765.1618625829,10.0106471111657,8.86112218954085,3.9667635614991,3.81973631115066,2.24379367669356,2.405400254343,3.30786169303199,2.11733314722554,43.3698586628553,36.9695019824185
"14","F15",14,"f",1876.78533359199,1622.69876048822,791.22523800622,753.58974883212,1846.70487345461,1628.97320671459,794.770223879204,755.026599587747,690.318782359517,689.331998377852,745.510699687668,692.186122504854,690.045847324576,753.829404605005,169.454,172.688,162.702,166.778,93.993,93.738,68.709,73.04,117.92,108.432,118.316,112.102,1777.30670534419,1967.22647366043,18.578856152513,16.2352518416482,1876.78533359199,1622.69876048822,791.22523800622,753.58974883212,690.318782359517,689.331998377852,745.510699687668,169.454,162.702,93.993,68.709,113.176,115.209,18.7226658950231,17.4070539970806,17.4070539970806,2.71872268515876,2.05086830215022,2.15329197750235,42.2299664417155,21648.9237279566,20448.253904238,21648.9237279566,18.578856152513,16.2352518416482,2.71872268515876,2.66793108589324,2.05086830215022,2.15329197750235,2.36067387845371,2.15750439468493,42.2299664417155,43.7947451102663
"15","F16",15,"f",1832.62703778865,1705.68567160688,790.761328453789,764.259982358049,1862.27424187094,1723.69229607984,794.494727747138,784.107483294814,716.977387595887,716.008524869152,718.334934518675,724.799538383327,721.301150014707,726.308302300012,180.759,184.543,177.118,179.439,93.595,95.315,83.523,84.124,82.2793,92.095,86.9864,83.571,3069.25580627445,2850.62744778385,-10.7823847776802,13.9091101310941,1832.62703778865,1705.68567160688,790.761328453789,764.259982358049,716.977387595887,716.008524869152,718.334934518675,180.759,177.118,93.595,83.523,87.18715,85.2787,29.5994162702915,1.56336267670692,12.3457474543871,2.55604579655388,2.15701705461758,2.23181340248138,47.1566977946905,18962.058399677,19327.2663798617,18962.058399677,10.7823847776802,13.9091101310941,2.55604579655388,2.56936455288695,2.15701705461758,2.23181340248138,2.38969852750782,2.19828573607906,47.1566977946905,46.8816700940152
"16","F17",16,"f",1819.14146891137,1624.39246580683,854.662660966302,822.963011534465,1786.92313194552,1605.60774325145,856.139660733575,817.640401079778,580.398342212057,576.48789334274,601.312381478663,552.488353701524,549.35417363756,581.239619940094,146.229,133.674,137.364,127.712,87.401,83.858,49.963,43.854,86.9734,83.579,81.6465,77.0707,2072.79581388524,1977.78170244298,11.8885957598043,11.5613069219277,1819.14146891137,1624.39246580683,854.662660966302,822.963011534465,580.398342212057,576.48789334274,601.312381478663,146.229,137.364,87.401,49.963,85.2762,79.3586,20.2528875816411,11.724951340866,11.724951340866,3.13429818213836,1.90062411755564,1.973834112882,36.3727031827844,24091.2879933097,25002.3042429999,24091.2879933097,11.8885957598043,11.5613069219277,3.13429818213836,3.23431818964801,1.90062411755564,1.973834112882,2.92271874921762,1.96370891302714,36.3727031827844,34.3381984465046
"17","F18",17,"f",2027.21668346455,1841.47800010779,840.569417790702,783.013587167737,1942.11015967941,1833.72846772389,847.300486868738,768.132346153079,782.859939633451,781.848247383804,760.232812086208,726.467150136129,725.220214854907,735.626056172423,221.423,200.751,215.847,196.293,104.263,102.178,111.584,94.115,105.9,95.7893,115.098,99.745,2384.47266608178,2342.19196064182,-14.7154866949211,13.6931840924036,2027.21668346455,1841.47800010779,840.569417790702,783.013587167737,782.859939633451,781.848247383804,760.232812086208,221.423,215.847,104.263,111.584,100.84465,107.4215,23.633323133618,-0.511151301258778,14.2043353936624,2.58950111103364,2.19075065203754,2.3517829451321,51.6958771722563,19039.4468383485,19215.1114524206,19039.4468383485,14.7154866949211,13.6931840924036,2.58950111103364,2.67336266934505,2.19075065203754,2.3517829451321,2.5285126230117,2.38725589009169,51.6958771722563,47.9461824924985
"18","F19",18,"f",1749.03519756522,1538.09247519159,812.241375839104,788.963573753991,1865.1255501172,1609.54236167676,831.133624739728,790.693458224026,703.999260993796,701.633558750169,688.332372967792,692.06421788539,689.097308844008,700.407815596802,163.691,165.538,157.679,157.612,92.341,93.596,65.338,64.016,90.5826,79.9665,90.5826,73.5127,2584.72717032535,2824.44837271071,-11.9432783081061,12.3710550742574,1749.03519756522,1538.09247519159,812.241375839104,788.963573753991,703.999260993796,701.633558750169,688.332372967792,163.691,157.679,92.341,65.338,85.27455,82.04765,27.0458777151803,0.213888383075656,12.1571666911818,2.48442760450658,1.89363965065512,1.94951012487579,41.4373505666576,19400.9609543566,22071.2465909956,19400.9609543566,11.9432783081061,12.3710550742574,2.48442760450658,2.6950180372222,1.89363965065512,1.94951012487579,2.33572579811237,2.03560854707455,41.4373505666576,40.6161967362891
"19","F20",19,"f",1989.92914185832,1691.90526765094,809.572604043022,751.156877711995,1974.90005870171,1761.9764947788,796.551124175342,729.186395753341,689.236120111279,685.617408593288,666.956213796618,716.994181597703,712.502342693107,701.597111261426,183.507,192.376,172.639,184.089,88.535,89.765,84.104,94.324,103.72,90.5431,96.1684,96.5223,2475.11535447924,2964.25288347744,15.2332275878275,-10.8446539147932,1989.92914185832,1691.90526765094,809.572604043022,751.156877711995,689.236120111279,685.617408593288,666.956213796618,183.507,172.639,88.535,84.104,97.13155,96.34535,27.1968411897834,2.19428683651715,13.0389407513104,2.88715156358469,2.0898746563329,2.25239935604989,48.7166862644014,22936.9840512109,21186.6555951741,22936.9840512109,15.2332275878275,10.8446539147932,2.88715156358469,2.75441573919187,2.0898746563329,2.25239935604989,2.47294133534903,2.41635952760537,48.7166862644014,51.2382597547925
"20","F21",20,"f",1573.98422713349,1433.62920738976,743.978504917985,736.991830575768,1703.73597750385,1496.26021428427,743.773027148067,724.070908302057,611.498473416809,607.673966549772,608.752435243312,591.20912342,587.777819301115,587.559464057821,135.736,132.695,130.869,126.268,76.996,74.785,53.873,51.483,91.2767,92.819,95.0179,102.181,1771.82577779701,1895.12270088646,-14.8726943883204,-15.5223506195963,1573.98422713349,1433.62920738976,743.978504917985,736.991830575768,611.498473416809,607.673966549772,608.752435243312,135.736,130.869,76.996,53.873,92.04785,98.59945,18.3347423934174,-15.1975225039584,15.1975225039584,2.57397899677279,1.92697665041788,1.94524436759327,41.16559307399,18930.5820879276,22988.5345538141,18930.5820879276,14.8726943883204,15.5223506195963,2.57397899677279,2.88178228314231,1.92697665041788,1.94524436759327,2.54562211289865,2.0664553666339,41.16559307399,40.7728007096018
