"","looker_id","Gender","ID","set","measure","value"
"289","F26","f","26","left","sc_width_horiz_left_mm",22.35
"290","F26","f","26","right","sc_width_horiz_left_mm",22.35
"291","F28","f","28","left","sc_width_horiz_left_mm",23.758
"292","F28","f","28","right","sc_width_horiz_left_mm",23.758
"293","M01","m","01","left","sc_width_horiz_left_mm",25.176
"294","M01","m","01","right","sc_width_horiz_left_mm",25.176
"295","M02","m","02","left","sc_width_horiz_left_mm",24.89
"296","M02","m","02","right","sc_width_horiz_left_mm",24.89
"297","M03","m","03","left","sc_width_horiz_left_mm",24.922
"298","M03","m","03","right","sc_width_horiz_left_mm",24.922
"299","M04","m","04","left","sc_width_horiz_left_mm",25.982
"300","M04","m","04","right","sc_width_horiz_left_mm",25.982
"301","M05","m","05","left","sc_width_horiz_left_mm",24.693
"302","M05","m","05","right","sc_width_horiz_left_mm",24.693
"303","M06","m","06","left","sc_width_horiz_left_mm",24.217
"304","M06","m","06","right","sc_width_horiz_left_mm",24.217
"305","M07","m","07","left","sc_width_horiz_left_mm",21.42
"306","M07","m","07","right","sc_width_horiz_left_mm",21.42
"307","M08","m","08","left","sc_width_horiz_left_mm",21.742
"308","M08","m","08","right","sc_width_horiz_left_mm",21.742
"309","M09","m","09","left","sc_width_horiz_left_mm",23.174
"310","M09","m","09","right","sc_width_horiz_left_mm",23.174
"311","M10","m","10","left","sc_width_horiz_left_mm",26.81
"312","M10","m","10","right","sc_width_horiz_left_mm",26.81
"313","M11","m","11","left","sc_width_horiz_left_mm",21.942
"314","M11","m","11","right","sc_width_horiz_left_mm",21.942
"315","M12","m","12","left","sc_width_horiz_left_mm",26.644
"316","M12","m","12","right","sc_width_horiz_left_mm",26.644
"317","M13","m","13","left","sc_width_horiz_left_mm",24.931
"318","M13","m","13","right","sc_width_horiz_left_mm",24.931
"319","M14","m","14","left","sc_width_horiz_left_mm",26.23
"320","M14","m","14","right","sc_width_horiz_left_mm",26.23
"321","F01","f","01","left","ir_width_left_mm",12.2111065018695
"322","F01","f","01","right","ir_width_left_mm",12.2111065018695
"323","F02","f","02","left","ir_width_left_mm",11.3415941119403
"324","F02","f","02","right","ir_width_left_mm",11.3415941119403
"325","F03","f","03","left","ir_width_left_mm",11.535177935342
"326","F03","f","03","right","ir_width_left_mm",11.535177935342
"327","F04","f","04","left","ir_width_left_mm",11.8426905726697
"328","F04","f","04","right","ir_width_left_mm",11.8426905726697
"329","F05","f","05","left","ir_width_left_mm",11.6636214787689
"330","F05","f","05","right","ir_width_left_mm",11.6636214787689
"331","F07","f","07","left","ir_width_left_mm",12.1838071225705
"332","F07","f","07","right","ir_width_left_mm",12.1838071225705
"333","F08","f","08","left","ir_width_left_mm",12.6480542772396
"334","F08","f","08","right","ir_width_left_mm",12.6480542772396
"335","F09","f","09","left","ir_width_left_mm",11.2149374050861
"336","F09","f","09","right","ir_width_left_mm",11.2149374050861
"337","F10","f","10","left","ir_width_left_mm",11.5316583803025
"338","F10","f","10","right","ir_width_left_mm",11.5316583803025
"339","F11","f","11","left","ir_width_left_mm",11.7729460204318
"340","F11","f","11","right","ir_width_left_mm",11.7729460204318
"341","F12","f","12","left","ir_width_left_mm",11.738415054853
"342","F12","f","12","right","ir_width_left_mm",11.738415054853
"343","F13","f","13","left","ir_width_left_mm",11.4470425874983
"344","F13","f","13","right","ir_width_left_mm",11.4470425874983
"345","F14","f","14","left","ir_width_left_mm",11.2941022662273
"346","F14","f","14","right","ir_width_left_mm",11.2941022662273
"347","F15","f","15","left","ir_width_left_mm",11.4140648762831
"348","F15","f","15","right","ir_width_left_mm",11.4140648762831
"349","F16","f","16","left","ir_width_left_mm",11.3952759510246
"350","F16","f","16","right","ir_width_left_mm",11.3952759510246
"351","F17","f","17","left","ir_width_left_mm",12.3321713011132
"352","F17","f","17","right","ir_width_left_mm",12.3321713011132
"353","F18","f","18","left","ir_width_left_mm",12.0746511336767
"354","F18","f","18","right","ir_width_left_mm",12.0746511336767
"355","F19","f","19","left","ir_width_left_mm",11.668078033678
"356","F19","f","19","right","ir_width_left_mm",11.668078033678
"357","F20","f","20","left","ir_width_left_mm",11.6540727644888
"358","F20","f","20","right","ir_width_left_mm",11.6540727644888
"359","F21","f","21","left","ir_width_left_mm",10.7022555566572
"360","F21","f","21","right","ir_width_left_mm",10.7022555566572
"361","F22","f","22","left","ir_width_left_mm",11.818520423471
"362","F22","f","22","right","ir_width_left_mm",11.818520423471
"363","F23","f","23","left","ir_width_left_mm",11.8521740199847
"364","F23","f","23","right","ir_width_left_mm",11.8521740199847
"365","F24","f","24","left","ir_width_left_mm",11.4469351793395
"366","F24","f","24","right","ir_width_left_mm",11.4469351793395
"367","F25","f","25","left","ir_width_left_mm",11.909050172033
"368","F25","f","25","right","ir_width_left_mm",11.909050172033
"369","F26","f","26","left","ir_width_left_mm",11.9554848500594
"370","F26","f","26","right","ir_width_left_mm",11.9554848500594
"371","F28","f","28","left","ir_width_left_mm",11.3865121964542
"372","F28","f","28","right","ir_width_left_mm",11.3865121964542
"373","M01","m","01","left","ir_width_left_mm",11.5800655006783
"374","M01","m","01","right","ir_width_left_mm",11.5800655006783
"375","M02","m","02","left","ir_width_left_mm",12.2075187077473
"376","M02","m","02","right","ir_width_left_mm",12.2075187077473
"377","M03","m","03","left","ir_width_left_mm",12.1075236939681
"378","M03","m","03","right","ir_width_left_mm",12.1075236939681
"379","M04","m","04","left","ir_width_left_mm",12.4894374973415
"380","M04","m","04","right","ir_width_left_mm",12.4894374973415
"381","M05","m","05","left","ir_width_left_mm",11.8734006080819
"382","M05","m","05","right","ir_width_left_mm",11.8734006080819
"383","M06","m","06","left","ir_width_left_mm",11.8862677068961
"384","M06","m","06","right","ir_width_left_mm",11.8862677068961
"385","M07","m","07","left","ir_width_left_mm",12.1992960862502
"386","M07","m","07","right","ir_width_left_mm",12.1992960862502
"387","M08","m","08","left","ir_width_left_mm",11.9627864646996
"388","M08","m","08","right","ir_width_left_mm",11.9627864646996
"389","M09","m","09","left","ir_width_left_mm",11.9655068425871
"390","M09","m","09","right","ir_width_left_mm",11.9655068425871
"391","M10","m","10","left","ir_width_left_mm",12.1072487791405
"392","M10","m","10","right","ir_width_left_mm",12.1072487791405
"393","M11","m","11","left","ir_width_left_mm",12.3781406115781
"394","M11","m","11","right","ir_width_left_mm",12.3781406115781
"395","M12","m","12","left","ir_width_left_mm",11.8778447960899
"396","M12","m","12","right","ir_width_left_mm",11.8778447960899
"397","M13","m","13","left","ir_width_left_mm",11.8320738672474
"398","M13","m","13","right","ir_width_left_mm",11.8320738672474
"399","M14","m","14","left","ir_width_left_mm",12.1795011802619
"400","M14","m","14","right","ir_width_left_mm",12.1795011802619
