"","looker_id","Gender","ID","set","width","width_horiz","sc_width","sc_width_horiz","ir_width","ir_width_horiz","ir_width_alt","height","sc_height","ir_height","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","iris_centroid_y","luminance_slope_abs","whr","ssi","ssi_alt","ssr"
"18","F10","f","10","right",27.4980731870435,27.39,24.8017673966998,24.777,11.5883324943669,11.51,10.0267818069065,9.10487848500031,9.0960652361784,8.96157834495896,165.447,160.101,81.377,78.724,108.365,97.9359,0.155726784726496,58.515,15.586255501539,3.02014719167804,2.72664792442935,2.47355212014448,0.491714605155496
"19","F11","f","11","left",24.1286069427972,24.132,22.0149082441876,22.017,11.7729460204318,11.704,11.324475551788,7.90423538756743,7.87351435882356,7.84210215023144,117.337,112.916,76.788,36.128,103.756,101.414,0.0822276474542688,63.448,14.1007311570765,3.05261745883087,1.86995746060341,1.94401128277519,0.319954656558858
"20","F11","f","11","right",24.4335815221592,24.363,22.4089948458203,22.422,11.9858108194648,11.993,11.5311872430636,8.21914323583418,8.18532097130493,8.20324319269515,122.81,118.635,80.762,37.873,94.3046,81.9687,0.0985306671025627,63.182,13.2062625159294,2.97276502198339,2.73770508503929,1.94333804260269,0.319239684747334
"21","F12","f","12","left",26.5654240884651,26.576,23.7623334081483,23.766,11.738415054853,11.746,10.6468187982067,8.80244211481515,8.78361799209509,8.81011671810287,151.999,146.411,84.709,61.702,110.606,116.186,0.0985435666723718,62.327,12.8137815982761,3.01796066840968,2.02432213353405,2.2318716847281,0.421430083805179
"22","F12","f","12","right",25.7343836141455,25.678,23.3884563406823,23.404,11.819608326844,11.688,10.9068510681007,8.65567329166552,8.63253752652197,8.87868795222287,147.722,142.306,83.648,58.658,106.913,99.125,0.136600768808347,60.67,11.1848891585676,2.97312326227989,2.70933734939759,2.14438211310013,0.412196253144632
"23","F13","f","13","left",26.7100006739049,26.516,23.5453105309741,23.531,11.4470425874983,11.461,11.4459331703165,9.95986805813894,9.8629273985423,9.86861658245438,183.041,174.109,91.677,82.432,129.146,115.661,0.0697208716009364,66.025,14.2152999449642,2.68176250106829,2.05689027108964,2.0570896387929,0.473450539604501
"24","F13","f","13","right",25.7504917428775,25.444,23.2047418645414,23.154,11.5656190928112,11.577,11.4676575470848,9.82851422274439,9.75636813592836,9.73867796305567,170.955,162.115,91.942,70.173,114.233,98.5596,0.0812630190530574,63.978,14.6266917630187,2.61997807189286,2.37842007817322,2.02349449041929,0.432859389939241
"25","F14","f","14","left",28.0390888760673,27.987,25.3411255669514,25.342,11.2941022662273,11.195,10.5245673401077,7.06765865889074,7.05451975898107,7.1799691394502,123.093,119.725,67.831,51.894,93.8051,110.892,0.109206486675384,61.952,21.3237025755268,3.96723868954758,2.24374854854369,2.40780687205828,0.43344330757987
"26","F14","f","14","right",26.3818425626415,26.029,22.6956430400198,22.624,11.5759896769131,11.546,10.7054790141097,6.90771393924877,6.86094514322922,6.88835136556881,110.475,105.679,66.61,39.069,71.0981,93.3655,0.169440917167332,58.798,8.86112218954085,3.81918573853256,3.30794701986755,2.12000257159041,0.369695019824185
"27","F15","f","15","left",27.0720166223353,27.076,23.4094110348808,23.412,11.4140648762831,11.425,10.8793837261783,9.95827398693965,9.94482019210013,10.7916477033202,169.474,162.735,93.993,68.742,151.833,123.921,0.0594790472945768,56.938,21.263934793569,2.71854506693032,2.05092675472017,2.15172215854033,0.422416812609457
"28","F15","f","15","right",26.6394279593237,26.643,23.4986689197495,23.484,11.4654790131071,11.223,10.8977182483593,9.98546415646986,9.95512700832884,10.874252146307,172.688,166.778,93.738,73.04,141.243,115.871,0.0633380638486942,56.363,20.3987521843994,2.66782069835615,2.36045897757905,2.15629257283168,0.437947451102663
"29","F16","f","16","left",26.4111080608141,26.384,24.578028826576,24.597,11.3952759510246,11.369,11.0062032704514,10.2840067337292,10.2676830769768,10.3487079737929,180.356,176.764,93.372,83.392,136.768,109.438,0.0668695290272841,62.611,15.6111814996176,2.56817296455006,2.15686122321294,2.23310693275685,0.471770269964472
"30","F16","f","16","right",26.8347666470197,26.571,24.9063809494676,24.799,11.4489355400404,11.427,11.2552718353253,10.4047533106622,10.3599048260192,10.4360999759223,184.359,179.461,95.179,84.282,140.011,111.492,0.0819432423217143,59.864,19.3945228629608,2.57908725423802,2.4041129110486,2.21286356419198,0.469639643153666
"31","F17","f","17","left",26.2495612153803,26.261,23.4396640334285,23.433,12.3321713011132,12.135,11.8747699591278,8.37603135357104,8.31896845483472,8.6774459336332,147.556,138.61,88.194,50.416,116.486,98.8687,0.109284436220159,58.451,16.3418021632693,3.13389003781476,1.9006923810175,1.97390468313123,0.36372556092634
"32","F17","f","17","right",25.7850889081267,25.756,23.1678290955368,23.188,12.3538141883388,12.222,11.7982374001442,7.97480240008798,7.92715602108789,8.38720424742593,134.886,128.942,84.619,44.323,110.632,91.2903,0.0899429116693812,57.276,14.3044439559871,3.23332010180494,2.92259027498708,1.96366866590205,0.343743698717253
"33","F18","f","18","left",29.1244238397947,29.088,26.4524191143268,26.474,12.0746511336767,12.066,11.2539083517725,11.2451523684049,11.2307398432929,10.9205130400798,221.428,215.847,104.263,111.584,162.21,127.86,0.0765263133923895,56.266,19.6392033416066,2.58995368721055,2.19073982523188,2.35050955521247,0.516958771722563
"34","F18","f","18","right",27.8973315032101,27.91,26.3394588023368,26.316,12.171327372148,12.152,11.0338190390173,10.4357232135063,10.4179081537968,10.5499378835047,200.751,196.293,102.178,94.115,140.962,115.607,0.116713036067875,57.68,19.9051075306777,2.67325329854517,2.52828671682401,2.38715704047679,0.479461824924985
"35","F19","f","19","left",25.1244884724048,25.037,22.0940000226306,22.107,11.668078033678,11.664,11.3411867888357,10.113058489432,10.0798433909125,9.8872616990937,163.692,157.679,92.341,65.338,90.5826,85.4777,0.258472717032535,52.562,11.9432783081061,2.48436103663986,1.89354236052071,1.94812063622654,0.414373505666576
"36","F19","f","19","right",26.7910398827668,26.79,23.1208998527307,23.112,11.9392110710884,11.865,11.3711909590513,9.94097051166443,9.89916112856033,10.0576309764182,165.425,157.498,93.596,63.902,126.169,100.591,0.0950048058301175,54.157,18.7280499933204,2.69501250922443,2.3356423390285,2.03328744860508,0.405732136281096
"37","F20","f","20","left",28.6555262558551,28.66,24.3548817488404,24.313,11.6540727644888,11.631,10.8029326720319,9.92261852971935,9.8696383987149,9.62652346668486,183.564,172.689,88.535,84.154,130.646,114.938,0.188282075178627,54.163,19.7299787063745,2.88789961742745,2.08981720305131,2.25446945641841,0.487315347242731
"38","F20","f","20","right",28.4285922620168,28.387,25.3637225185894,25.364,11.4665887691152,11.415,10.4880627990648,10.2760949578559,10.2477052641398,10.0972541389177,192.213,183.934,89.619,94.315,132.714,103.603,0.108476306915129,53.962,20.2626074476694,2.76647815912636,2.47506362300892,2.41834197644688,0.512765448476084
"39","F21","f","21","left",22.6567884749803,22.586,20.6369681881811,20.642,10.7022555566572,10.724,10.6387238112372,8.81164282267187,8.76137986239306,8.77378819399549,137.451,132.523,78.034,54.489,126.69,107.714,0.0613469659924428,63.327,14.9423253839077,2.5712331889674,1.92828213444634,1.93979734358582,0.411166363574625
"40","F21","f","21","right",24.5259256502176,24.5,21.5389255303044,21.564,10.7068398699149,10.71,10.4271534663377,8.50921044929632,8.46117939961281,8.4523104673972,134.357,127.881,75.721,52.16,121.503,111.732,0.0493466864877553,64.131,19.4935023263276,2.88227983035086,2.54561740308804,2.06565728603105,0.40787920019393
"41","F22","f","22","left",27.5762101819666,27.573,25.1241898774866,25.127,11.818520423471,11.713,11.4077065510628,11.3780851770252,11.3147600231637,11.5704202044132,209.015,202.325,104.676,97.649,122.057,102.97,0.0851397133777058,59.324,16.7020621519178,2.42362486771051,2.12583208195768,2.20238746193432,0.482634375386136
"42","F22","f","22","right",26.8518864328002,26.858,24.2337157282989,24.198,11.8226853971507,11.756,11.3775597668118,11.0026965008028,10.9712538994557,11.4427017673864,202.507,194.01,101.202,92.808,122.354,98.625,0.0781529003141787,58.571,17.2838355158142,2.44048233365711,2.20883738088508,2.1299572337988,0.478367094479666
"43","F23","f","23","left",26.988037720442,26.999,24.3283666940467,24.317,11.8521740199847,11.838,11.407784746653,9.49937150611384,9.4731478533112,9.56400761019354,172.021,166.58,92.568,74.012,125.68,122.58,0.0695746161477072,61.257,14.992961610956,2.84103403083797,2.0526501427523,2.13261095246249,0.444303037579541
"44","F23","f","23","right",26.1640403798802,26.154,23.9793401493869,23.982,12.0713479777529,12.056,11.4970148573988,8.9328126208532,8.89907436526284,9.08219167151048,155.059,151.645,88.864,62.781,117.224,124.309,0.0912868217054264,61.637,17.367033097277,2.92898121682319,2.69458812963618,2.08570141439413,0.413999802169541
"45","F24","f","24","left",26.6666252083011,26.562,23.6542584115419,23.669,11.4469351793395,11.158,10.7246530746591,9.6294471840813,9.5763433888899,10.1119295533873,170.168,163.465,89.104,74.361,136.905,130.376,0.0785523906956709,60.789,19.5665223170261,2.76927893144109,2.06642721749969,2.20559660502526,0.45490471966476
"46","F24","f","24","right",27.8084423511998,27.685,24.3219131648808,24.317,11.2640135830884,11.23,10.3231350401361,9.39042778651325,9.36666880545301,10.0397879210032,167.602,161.123,85.641,75.482,119.519,121.461,0.0856589858930812,60.038,10.3641172389872,2.9613605453778,2.59664494069879,2.35605880096673,0.468474395337723
"47","F25","f","25","left",27.8661724856501,27.839,24.2421377976448,24.252,11.909050172033,11.882,11.4850176499484,9.65958909068913,9.57908103203021,9.16742781653059,175.709,164.37,86.719,77.651,118.194,118.776,0.129845175254544,56.274,13.658993204826,2.88481965682269,2.03560632018954,2.11076191056213,0.472415890977672
"48","F25","f","25","right",29.0770438834487,28.916,24.5825540780449,24.596,11.9842306803566,11.911,11.6678774583284,9.99688239062586,9.93643658266715,9.79008322265998,185.208,172.377,92.68,79.697,126.66,115.66,0.0829447710620058,55.142,13.899741012247,2.90861117969282,2.473980875692,2.10685740965664,0.462341263625658
