"","looker_id","Gender","ID","width_left_mm","width_horiz_left_mm","sc_width_left_mm","sc_width_horiz_left_mm","ir_width_left_mm","ir_width_horiz_left_mm","ir_width_alt_left_mm","width_right_mm","width_horiz_right_mm","sc_width_right_mm","sc_width_horiz_right_mm","ir_width_right_mm","ir_width_horiz_right_mm","ir_width_alt_right_mm","height_left_mm","sc_height_left_mm","ir_height_left_mm","height_right_mm","sc_height_right_mm","ir_height_right_mm","complete_area_left","complete_area_right","eye_opening_area_left","eye_opening_area_right","iris_pupil_area_left","iris_pupil_area_right","sclera_area_left","sclera_area_right","hac_left","hac_right","hrc_left","hrc_right","ril_left","ril_right","luminance_slope_left","luminance_slope_right","iris_centroid_y_left_mm","iris_centroid_y_right_mm","luminance_slope_abs_left","luminance_slope_abs_right","ir_width_left_alt_mm","ir_width_right_alt_mm","whr_left_mm","whr_right_mm","ssi_left_mm","ssi_left_alt_mm","ssi_right_mm","ssi_right_alt_mm","ssr_left","ssr_right"
"11","F12","f","12",26.5654240884651,26.576,23.7623334081483,23.766,11.738415054853,11.746,NA,25.7343836141455,25.678,23.3884563406823,23.404,11.819608326844,11.688,NA,8.80244211481515,8.78361799209509,8.81011671810287,8.65567329166552,8.63253752652197,8.87868795222287,151.999,147.722,146.411,142.306,84.709,83.648,61.702,58.658,110.606,106.913,116.186,99.125,0.0985435666723718,0.136600768808347,-12.8137815982761,11.1848891585676,62.327,60.67,12.8137815982761,11.1848891585676,10.6468187982067,10.9068510681007,3.01796066840968,2.97312326227989,2.02432213353405,2.2318716847281,2.70933734939759,2.14438211310013,0.421430083805179,0.412196253144632
"12","F13","f","13",26.7100006739049,26.516,23.5453105309741,23.531,11.4470425874983,11.461,NA,25.7504917428775,25.444,23.2047418645414,23.154,11.5656190928112,11.577,NA,9.95986805813894,9.8629273985423,9.86861658245438,9.82851422274439,9.75636813592836,9.73867796305567,183.041,170.955,174.109,162.115,91.677,91.942,82.432,70.173,129.146,114.233,115.661,98.5596,0.0697208716009364,0.0812630190530574,-14.2152999449642,14.6266917630187,66.025,63.978,14.2152999449642,14.6266917630187,11.4459331703165,11.4676575470848,2.68176250106829,2.61997807189286,2.05689027108964,2.0570896387929,2.37842007817322,2.02349449041929,0.473450539604501,0.432859389939241
"13","F14","f","14",28.0390888760673,27.987,25.3411255669514,25.342,11.2941022662273,11.195,NA,26.3818425626415,26.029,22.6956430400198,22.624,11.5759896769131,11.546,NA,7.06765865889074,7.05451975898107,7.1799691394502,6.90771393924877,6.86094514322922,6.88835136556881,123.093,110.475,119.725,105.679,67.831,66.61,51.894,39.069,93.8051,71.0981,110.892,93.3655,0.109206486675384,0.169440917167332,21.3237025755268,-8.86112218954085,61.952,58.798,21.3237025755268,8.86112218954085,10.5245673401077,10.7054790141097,3.96723868954758,3.81918573853256,2.24374854854369,2.40780687205828,3.30794701986755,2.12000257159041,0.43344330757987,0.369695019824185
"14","F15","f","15",27.0720166223353,27.076,23.4094110348808,23.412,11.4140648762831,11.425,NA,26.6394279593237,26.643,23.4986689197495,23.484,11.4654790131071,11.223,NA,9.95827398693965,9.94482019210013,10.7916477033202,9.98546415646986,9.95512700832884,10.874252146307,169.474,172.688,162.735,166.778,93.993,93.738,68.742,73.04,151.833,141.243,123.921,115.871,0.0594790472945768,0.0633380638486942,21.263934793569,20.3987521843994,56.938,56.363,21.263934793569,20.3987521843994,10.8793837261783,10.8977182483593,2.71854506693032,2.66782069835615,2.05092675472017,2.15172215854033,2.36045897757905,2.15629257283168,0.422416812609457,0.437947451102663
"15","F16","f","16",26.4111080608141,26.384,24.578028826576,24.597,11.3952759510246,11.369,NA,26.8347666470197,26.571,24.9063809494676,24.799,11.4489355400404,11.427,NA,10.2840067337292,10.2676830769768,10.3487079737929,10.4047533106622,10.3599048260192,10.4360999759223,180.356,184.359,176.764,179.461,93.372,95.179,83.392,84.282,136.768,140.011,109.438,111.492,0.0668695290272841,0.0819432423217143,-15.6111814996176,19.3945228629608,62.611,59.864,15.6111814996176,19.3945228629608,11.0062032704514,11.2552718353253,2.56817296455006,2.57908725423802,2.15686122321294,2.23310693275685,2.4041129110486,2.21286356419198,0.471770269964472,0.469639643153666
"16","F17","f","17",26.2495612153803,26.261,23.4396640334285,23.433,12.3321713011132,12.135,NA,25.7850889081267,25.756,23.1678290955368,23.188,12.3538141883388,12.222,NA,8.37603135357104,8.31896845483472,8.6774459336332,7.97480240008798,7.92715602108789,8.38720424742593,147.556,134.886,138.61,128.942,88.194,84.619,50.416,44.323,116.486,110.632,98.8687,91.2903,0.109284436220159,0.0899429116693812,16.3418021632693,14.3044439559871,58.451,57.276,16.3418021632693,14.3044439559871,11.8747699591278,11.7982374001442,3.13389003781476,3.23332010180494,1.9006923810175,1.97390468313123,2.92259027498708,1.96366866590205,0.36372556092634,0.343743698717253
"17","F18","f","18",29.1244238397947,29.088,26.4524191143268,26.474,12.0746511336767,12.066,NA,27.8973315032101,27.91,26.3394588023368,26.316,12.171327372148,12.152,NA,11.2451523684049,11.2307398432929,10.9205130400798,10.4357232135063,10.4179081537968,10.5499378835047,221.428,200.751,215.847,196.293,104.263,102.178,111.584,94.115,162.21,140.962,127.86,115.607,0.0765263133923895,0.116713036067875,-19.6392033416066,-19.9051075306777,56.266,57.68,19.6392033416066,19.9051075306777,11.2539083517725,11.0338190390173,2.58995368721055,2.67325329854517,2.19073982523188,2.35050955521247,2.52828671682401,2.38715704047679,0.516958771722563,0.479461824924985
"18","F19","f","19",25.1244884724048,25.037,22.0940000226306,22.107,11.668078033678,11.664,NA,26.7910398827668,26.79,23.1208998527307,23.112,11.9392110710884,11.865,NA,10.113058489432,10.0798433909125,9.8872616990937,9.94097051166443,9.89916112856033,10.0576309764182,163.692,165.425,157.679,157.498,92.341,93.596,65.338,63.902,90.5826,126.169,85.4777,100.591,0.258472717032535,0.0950048058301175,-11.9432783081061,18.7280499933204,52.562,54.157,11.9432783081061,18.7280499933204,11.3411867888357,11.3711909590513,2.48436103663986,2.69501250922443,1.89354236052071,1.94812063622654,2.3356423390285,2.03328744860508,0.414373505666576,0.405732136281096
"19","F20","f","20",28.6555262558551,28.66,24.3548817488404,24.313,11.6540727644888,11.631,NA,28.4285922620168,28.387,25.3637225185894,25.364,11.4665887691152,11.415,NA,9.92261852971935,9.8696383987149,9.62652346668486,10.2760949578559,10.2477052641398,10.0972541389177,183.564,192.213,172.689,183.934,88.535,89.619,84.154,94.315,130.646,132.714,114.938,103.603,0.188282075178627,0.108476306915129,19.7299787063745,-20.2626074476694,54.163,53.962,19.7299787063745,20.2626074476694,10.8029326720319,10.4880627990648,2.88789961742745,2.76647815912636,2.08981720305131,2.25446945641841,2.47506362300892,2.41834197644688,0.487315347242731,0.512765448476084
"20","F21","f","21",22.6567884749803,22.586,20.6369681881811,20.642,10.7022555566572,10.724,NA,24.5259256502176,24.5,21.5389255303044,21.564,10.7068398699149,10.71,NA,8.81164282267187,8.76137986239306,8.77378819399549,8.50921044929632,8.46117939961281,8.4523104673972,137.451,134.357,132.523,127.881,78.034,75.721,54.489,52.16,126.69,121.503,107.714,111.732,0.0613469659924428,0.0493466864877553,-14.9423253839077,-19.4935023263276,63.327,64.131,14.9423253839077,19.4935023263276,10.6387238112372,10.4271534663377,2.5712331889674,2.88227983035086,1.92828213444634,1.93979734358582,2.54561740308804,2.06565728603105,0.411166363574625,0.40787920019393
