id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
26m,4081,3,1.8253968253968300,32.68156424581010,2.74,F
27m,4081,1,1.8253968253968300,32.68156424581010,2.74,F
28m,4081,1,1.8253968253968300,32.68156424581010,2.74,F
29m,4081,1,1.8253968253968300,32.68156424581010,2.74,F
30m,4081,1,1.8253968253968300,32.68156424581010,2.74,F
1m,4101,3,1.8934426229508200,35.9882005899705,2.2892561983471100,F
2m,4101,3,1.8934426229508200,35.9882005899705,2.2892561983471100,F
3m,4101,2,1.8934426229508200,35.9882005899705,2.2892561983471100,F
4m,4101,3,1.8934426229508200,35.9882005899705,2.2892561983471100,F
5m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
6m,4101,5,1.8934426229508200,35.9882005899705,2.2892561983471100,F
7m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
8m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
9m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
10m,4101,1,1.8934426229508200,35.9882005899705,2.2892561983471100,F
11m,4101,1,1.8934426229508200,35.9882005899705,2.2892561983471100,F
12m,4101,1,1.8934426229508200,35.9882005899705,2.2892561983471100,F
13m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
14m,4101,2,1.8934426229508200,35.9882005899705,2.2892561983471100,F
15m,4101,1,1.8934426229508200,35.9882005899705,2.2892561983471100,F
16m,4101,1,1.8934426229508200,35.9882005899705,2.2892561983471100,F
17m,4101,3,1.8934426229508200,35.9882005899705,2.2892561983471100,F
18m,4101,5,1.8934426229508200,35.9882005899705,2.2892561983471100,F
19m,4101,3,1.8934426229508200,35.9882005899705,2.2892561983471100,F
20m,4101,3,1.8934426229508200,35.9882005899705,2.2892561983471100,F
21m,4101,1,1.8934426229508200,35.9882005899705,2.2892561983471100,F
22m,4101,1,1.8934426229508200,35.9882005899705,2.2892561983471100,F
23m,4101,2,1.8934426229508200,35.9882005899705,2.2892561983471100,F
24m,4101,2,1.8934426229508200,35.9882005899705,2.2892561983471100,F
25m,4101,2,1.8934426229508200,35.9882005899705,2.2892561983471100,F
26m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
27m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
28m,4101,5,1.8934426229508200,35.9882005899705,2.2892561983471100,F
29m,4101,4,1.8934426229508200,35.9882005899705,2.2892561983471100,F
30m,4101,3,1.8934426229508200,35.9882005899705,2.2892561983471100,F
1m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
2m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
3m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
4m,4111,4,1.968,25.641025641025600,2.4786324786324800,F
5m,4111,4,1.968,25.641025641025600,2.4786324786324800,F
6m,4111,6,1.968,25.641025641025600,2.4786324786324800,F
7m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
8m,4111,5,1.968,25.641025641025600,2.4786324786324800,F
9m,4111,6,1.968,25.641025641025600,2.4786324786324800,F
10m,4111,1,1.968,25.641025641025600,2.4786324786324800,F
11m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
12m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
13m,4111,4,1.968,25.641025641025600,2.4786324786324800,F
14m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
15m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
16m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
17m,4111,4,1.968,25.641025641025600,2.4786324786324800,F
18m,4111,5,1.968,25.641025641025600,2.4786324786324800,F
19m,4111,4,1.968,25.641025641025600,2.4786324786324800,F
20m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
21m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
22m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
23m,4111,4,1.968,25.641025641025600,2.4786324786324800,F
24m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
25m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
26m,4111,4,1.968,25.641025641025600,2.4786324786324800,F
27m,4111,2,1.968,25.641025641025600,2.4786324786324800,F
28m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
29m,4111,3,1.968,25.641025641025600,2.4786324786324800,F
30m,4111,5,1.968,25.641025641025600,2.4786324786324800,F
1m,4141,4,1.8429752066115700,40.98837209302330,2.9473684210526300,F
2m,4141,4,1.8429752066115700,40.98837209302330,2.9473684210526300,F
3m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
4m,4141,3,1.8429752066115700,40.98837209302330,2.9473684210526300,F
5m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
6m,4141,3,1.8429752066115700,40.98837209302330,2.9473684210526300,F
7m,4141,3,1.8429752066115700,40.98837209302330,2.9473684210526300,F
8m,4141,4,1.8429752066115700,40.98837209302330,2.9473684210526300,F
9m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
10m,4141,1,1.8429752066115700,40.98837209302330,2.9473684210526300,F
11m,4141,1,1.8429752066115700,40.98837209302330,2.9473684210526300,F
12m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
13m,4141,1,1.8429752066115700,40.98837209302330,2.9473684210526300,F
14m,4141,1,1.8429752066115700,40.98837209302330,2.9473684210526300,F
15m,4141,1,1.8429752066115700,40.98837209302330,2.9473684210526300,F
16m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
17m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
18m,4141,5,1.8429752066115700,40.98837209302330,2.9473684210526300,F
19m,4141,3,1.8429752066115700,40.98837209302330,2.9473684210526300,F
20m,4141,3,1.8429752066115700,40.98837209302330,2.9473684210526300,F
21m,4141,1,1.8429752066115700,40.98837209302330,2.9473684210526300,F
22m,4141,1,1.8429752066115700,40.98837209302330,2.9473684210526300,F
23m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
24m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
25m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
26m,4141,2,1.8429752066115700,40.98837209302330,2.9473684210526300,F
27m,4141,4,1.8429752066115700,40.98837209302330,2.9473684210526300,F
28m,4141,5,1.8429752066115700,40.98837209302330,2.9473684210526300,F
29m,4141,3,1.8429752066115700,40.98837209302330,2.9473684210526300,F
30m,4141,3,1.8429752066115700,40.98837209302330,2.9473684210526300,F
1m,4151,1,2.1043478260869600,39.34426229508200,2.701923076923080,F
2m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
3m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
4m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
5m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
6m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
7m,4151,5,2.1043478260869600,39.34426229508200,2.701923076923080,F
8m,4151,5,2.1043478260869600,39.34426229508200,2.701923076923080,F
9m,4151,5,2.1043478260869600,39.34426229508200,2.701923076923080,F
10m,4151,1,2.1043478260869600,39.34426229508200,2.701923076923080,F
11m,4151,1,2.1043478260869600,39.34426229508200,2.701923076923080,F
12m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
13m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
14m,4151,1,2.1043478260869600,39.34426229508200,2.701923076923080,F
15m,4151,1,2.1043478260869600,39.34426229508200,2.701923076923080,F
16m,4151,4,2.1043478260869600,39.34426229508200,2.701923076923080,F
17m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
18m,4151,5,2.1043478260869600,39.34426229508200,2.701923076923080,F
19m,4151,4,2.1043478260869600,39.34426229508200,2.701923076923080,F
20m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
21m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
22m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
23m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
24m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
25m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
26m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
27m,4151,3,2.1043478260869600,39.34426229508200,2.701923076923080,F
28m,4151,2,2.1043478260869600,39.34426229508200,2.701923076923080,F
29m,4151,4,2.1043478260869600,39.34426229508200,2.701923076923080,F
30m,4151,6,2.1043478260869600,39.34426229508200,2.701923076923080,F
1m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
2m,4161,3,1.7894736842105300,35.75268817204300,2.2916666666666700,F
3m,4161,2,1.7894736842105300,35.75268817204300,2.2916666666666700,F
4m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
5m,4161,2,1.7894736842105300,35.75268817204300,2.2916666666666700,F
6m,4161,2,1.7894736842105300,35.75268817204300,2.2916666666666700,F
7m,4161,1,1.7894736842105300,35.75268817204300,2.2916666666666700,F
