number,id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
139,19k,4130,2,1.9921875,40.84507042,2.80733945,M
140,20k,4130,1,1.9921875,40.84507042,2.80733945,M
141,21k,4130,1,1.9921875,40.84507042,2.80733945,M
142,22k,4130,2,1.9921875,40.84507042,2.80733945,M
143,23k,4130,1,1.9921875,40.84507042,2.80733945,M
144,24k,4130,1,1.9921875,40.84507042,2.80733945,M
145,25k,4130,2,1.9921875,40.84507042,2.80733945,M
146,26k,4130,1,1.9921875,40.84507042,2.80733945,M
147,27k,4130,1,1.9921875,40.84507042,2.80733945,M
148,28k,4130,1,1.9921875,40.84507042,2.80733945,M
149,29k,4130,1,1.9921875,40.84507042,2.80733945,M
150,30k,4130,1,1.9921875,40.84507042,2.80733945,M
151,1k,4170,5,2,31.88405797,2.696428571,M
152,2k,4170,3,2,31.88405797,2.696428571,M
153,3k,4170,2,2,31.88405797,2.696428571,M
154,4k,4170,3,2,31.88405797,2.696428571,M
155,5k,4170,1,2,31.88405797,2.696428571,M
156,6k,4170,1,2,31.88405797,2.696428571,M
157,7k,4170,1,2,31.88405797,2.696428571,M
158,8k,4170,1,2,31.88405797,2.696428571,M
159,9k,4170,1,2,31.88405797,2.696428571,M
160,10k,4170,1,2,31.88405797,2.696428571,M
161,11k,4170,2,2,31.88405797,2.696428571,M
162,12k,4170,3,2,31.88405797,2.696428571,M
163,13k,4170,1,2,31.88405797,2.696428571,M
164,14k,4170,5,2,31.88405797,2.696428571,M
165,15k,4170,2,2,31.88405797,2.696428571,M
166,16k,4170,3,2,31.88405797,2.696428571,M
167,17k,4170,1,2,31.88405797,2.696428571,M
168,18k,4170,1,2,31.88405797,2.696428571,M
169,19k,4170,4,2,31.88405797,2.696428571,M
170,20k,4170,1,2,31.88405797,2.696428571,M
171,21k,4170,3,2,31.88405797,2.696428571,M
172,22k,4170,2,2,31.88405797,2.696428571,M
173,23k,4170,1,2,31.88405797,2.696428571,M
174,24k,4170,2,2,31.88405797,2.696428571,M
175,25k,4170,2,2,31.88405797,2.696428571,M
176,26k,4170,1,2,31.88405797,2.696428571,M
177,27k,4170,2,2,31.88405797,2.696428571,M
178,28k,4170,1,2,31.88405797,2.696428571,M
179,29k,4170,1,2,31.88405797,2.696428571,M
180,30k,4170,1,2,31.88405797,2.696428571,M
181,1k,4200,5,1.829457364,29.2358804,3.105882353,M
182,2k,4200,1,1.829457364,29.2358804,3.105882353,M
183,3k,4200,2,1.829457364,29.2358804,3.105882353,M
184,4k,4200,1,1.829457364,29.2358804,3.105882353,M
185,5k,4200,2,1.829457364,29.2358804,3.105882353,M
186,6k,4200,1,1.829457364,29.2358804,3.105882353,M
187,7k,4200,1,1.829457364,29.2358804,3.105882353,M
188,8k,4200,2,1.829457364,29.2358804,3.105882353,M
189,9k,4200,1,1.829457364,29.2358804,3.105882353,M
190,10k,4200,1,1.829457364,29.2358804,3.105882353,M
191,11k,4200,2,1.829457364,29.2358804,3.105882353,M
192,12k,4200,3,1.829457364,29.2358804,3.105882353,M
193,13k,4200,1,1.829457364,29.2358804,3.105882353,M
194,14k,4200,6,1.829457364,29.2358804,3.105882353,M
195,15k,4200,2,1.829457364,29.2358804,3.105882353,M
196,16k,4200,2,1.829457364,29.2358804,3.105882353,M
197,17k,4200,1,1.829457364,29.2358804,3.105882353,M
198,18k,4200,1,1.829457364,29.2358804,3.105882353,M
199,19k,4200,3,1.829457364,29.2358804,3.105882353,M
200,20k,4200,3,1.829457364,29.2358804,3.105882353,M
201,21k,4200,3,1.829457364,29.2358804,3.105882353,M
202,22k,4200,2,1.829457364,29.2358804,3.105882353,M
203,23k,4200,1,1.829457364,29.2358804,3.105882353,M
